STD,Year,State,County,State FIPS,County FIPS,Rate,Rate Category
Primary and secondary syphilis,2021,Alaska,Copper River Census Area,2,66,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Denali Borough,2,68,62.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alaska,Dillingham Census Area,2,70,83.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alaska,Fairbanks North Star Borough,2,90,7.3,6.6–15.4
Primary and secondary syphilis,2021,Alaska,Haines Borough,2,100,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Hoonah-Angoon Census Area,2,105,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Juneau City and Borough,2,110,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Kenai Peninsula Borough,2,122,5.0,0.1–6.5
Primary and secondary syphilis,2021,Alaska,Ketchikan Gateway Borough,2,130,65.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alaska,Kodiak Island Borough,2,150,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Kusilvak Census Area,2,158,12.0,6.6–15.4
Primary and secondary syphilis,2021,Alaska,Lake and Peninsula Borough,2,164,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Matanuska-Susitna Borough,2,170,9.0,6.6–15.4
Primary and secondary syphilis,2021,Alaska,Nome Census Area,2,180,0.0,0.0
Primary and secondary syphilis,2021,Alaska,North Slope Borough,2,185,27.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alaska,Northwest Arctic Borough,2,188,26.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alaska,Petersburg Borough,2,195,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Prince of Wales-Hyder Census Area,2,198,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Sitka City and Borough,2,220,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Skagway Municipality,2,230,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Southeast Fairbanks Census Area,2,240,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Wrangell City and Borough,2,275,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Yakutat City and Borough,2,282,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Yukon-Koyukuk Census Area,2,290,0.0,0.0
Primary and secondary syphilis,2021,Arizona,Apache County,4,1,80.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arizona,Cochise County,4,3,11.9,6.6–15.4
Primary and secondary syphilis,2021,Arizona,Coconino County,4,5,43.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arizona,Gila County,4,7,57.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arizona,Graham County,4,9,7.7,6.6–15.4
Primary and secondary syphilis,2021,Arizona,Greenlee County,4,11,0.0,0.0
Primary and secondary syphilis,2021,Arizona,La Paz County,4,12,54.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arizona,Maricopa County,4,13,31.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arizona,Mohave County,4,15,4.1,0.1–6.5
Primary and secondary syphilis,2021,Arizona,Navajo County,4,17,63.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arizona,Pima County,4,19,18.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arizona,Pinal County,4,21,10.2,6.6–15.4
Primary and secondary syphilis,2021,Arizona,Santa Cruz County,4,23,8.4,6.6–15.4
Primary and secondary syphilis,2021,Arizona,Yavapai County,4,25,7.0,6.6–15.4
Primary and secondary syphilis,2021,Arizona,Yuma County,4,27,20.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Arkansas County,5,1,35.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Ashley County,5,3,5.4,0.1–6.5
Primary and secondary syphilis,2021,Arkansas,Baxter County,5,5,2.4,0.1–6.5
Primary and secondary syphilis,2021,Arkansas,Benton County,5,7,13.3,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Boone County,5,9,5.3,0.1–6.5
Primary and secondary syphilis,2021,Arkansas,Bradley County,5,11,9.6,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Calhoun County,5,13,42.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Carroll County,5,15,7.0,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Chicot County,5,17,10.0,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Clark County,5,19,32.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Clay County,5,21,34.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Cleburne County,5,23,24.0,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Cleveland County,5,25,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Columbia County,5,27,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Conway County,5,29,38.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Craighead County,5,31,41.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Crawford County,5,33,6.6,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Crittenden County,5,35,42.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Cross County,5,37,42.0,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Dallas County,5,39,111.0,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Desha County,5,41,27.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Drew County,5,43,17.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Faulkner County,5,45,13.6,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Franklin County,5,47,17.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Fulton County,5,49,8.2,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Garland County,5,51,43.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Grant County,5,53,27.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Greene County,5,55,60.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Hempstead County,5,57,45.7,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Hot Spring County,5,59,111.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Howard County,5,61,7.9,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Independence County,5,63,13.3,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Izard County,5,65,28.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Jackson County,5,67,83.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Jefferson County,5,69,27.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Johnson County,5,71,27.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Lafayette County,5,73,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Lawrence County,5,75,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Lee County,5,77,23.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Lincoln County,5,79,15.3,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Little River County,5,81,67.0,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Logan County,5,83,23.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Lonoke County,5,85,37.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Madison County,5,87,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Marion County,5,89,5.9,0.1–6.5
Primary and secondary syphilis,2021,Arkansas,Miller County,5,91,63.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Mississippi County,5,93,103.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Monroe County,5,95,15.0,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Montgomery County,5,97,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Nevada County,5,99,12.2,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Newton County,5,101,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Ouachita County,5,103,76.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Perry County,5,105,20.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Phillips County,5,107,18.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Pike County,5,109,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Poinsett County,5,111,17.7,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Polk County,5,113,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Pope County,5,115,18.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Prairie County,5,117,98.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Pulaski County,5,119,62.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Randolph County,5,121,15.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,St. Francis County,5,123,74.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Saline County,5,125,16.0,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Scott County,5,127,10.2,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Searcy County,5,129,12.7,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Sebastian County,5,131,27.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Sevier County,5,133,19.0,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Sharp County,5,135,5.7,0.1–6.5
Primary and secondary syphilis,2021,Arkansas,Stone County,5,137,0.0,0.0
Primary and secondary syphilis,2021,Arkansas,Union County,5,139,10.4,6.6–15.4
Primary and secondary syphilis,2021,Arkansas,Van Buren County,5,141,19.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Washington County,5,143,35.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,White County,5,145,36.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Woodruff County,5,147,16.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Arkansas,Yell County,5,149,49.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Alameda County,6,1,12.0,6.6–15.4
Primary and secondary syphilis,2021,California,Alpine County,6,3,0.0,0.0
Primary and secondary syphilis,2021,California,Amador County,6,5,7.3,6.6–15.4
Primary and secondary syphilis,2021,California,Butte County,6,7,46.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Calaveras County,6,9,4.3,0.1–6.5
Primary and secondary syphilis,2021,California,Colusa County,6,11,13.7,6.6–15.4
Primary and secondary syphilis,2021,California,Contra Costa County,6,13,16.7,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Del Norte County,6,15,7.1,6.6–15.4
Primary and secondary syphilis,2021,California,El Dorado County,6,17,6.2,0.1–6.5
Primary and secondary syphilis,2021,California,Fresno County,6,19,25.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Glenn County,6,21,20.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Humboldt County,6,23,19.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Imperial County,6,25,10.6,6.6–15.4
Primary and secondary syphilis,2021,California,Inyo County,6,27,10.5,6.6–15.4
Primary and secondary syphilis,2021,California,Kern County,6,29,30.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Kings County,6,31,16.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Lake County,6,33,84.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Lassen County,6,35,9.0,6.6–15.4
Primary and secondary syphilis,2021,California,Los Angeles County,6,37,27.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Madera County,6,39,22.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Marin County,6,41,8.1,6.6–15.4
Primary and secondary syphilis,2021,California,Mariposa County,6,43,0.0,0.0
Primary and secondary syphilis,2021,California,Mendocino County,6,45,17.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Merced County,6,47,26.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Modoc County,6,49,23.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Mono County,6,51,0.0,0.0
Primary and secondary syphilis,2021,California,Monterey County,6,53,11.2,6.6–15.4
Primary and secondary syphilis,2021,California,Napa County,6,55,20.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Nevada County,6,57,5.8,0.1–6.5
Primary and secondary syphilis,2021,California,Orange County,6,59,17.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Placer County,6,61,8.2,6.6–15.4
Primary and secondary syphilis,2021,California,Plumas County,6,63,10.0,6.6–15.4
Primary and secondary syphilis,2021,California,Riverside County,6,65,16.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Sacramento County,6,67,30.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,San Benito County,6,69,9.0,6.6–15.4
Primary and secondary syphilis,2021,California,San Bernardino County,6,71,21.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,San Diego County,6,73,18.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,San Francisco County,6,75,50.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,San Joaquin County,6,77,24.7,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,San Luis Obispo County,6,79,7.1,6.6–15.4
Primary and secondary syphilis,2021,California,San Mateo County,6,81,8.9,6.6–15.4
Primary and secondary syphilis,2021,California,Santa Barbara County,6,83,12.5,6.6–15.4
Primary and secondary syphilis,2021,California,Santa Clara County,6,85,15.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Santa Cruz County,6,87,24.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Shasta County,6,89,43.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Sierra County,6,91,0.0,0.0
Primary and secondary syphilis,2021,California,Siskiyou County,6,93,36.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Solano County,6,95,22.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Sonoma County,6,97,13.8,6.6–15.4
Primary and secondary syphilis,2021,California,Stanislaus County,6,99,46.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Sutter County,6,101,41.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Tehama County,6,103,56.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Trinity County,6,105,24.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Tulare County,6,107,27.7,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Tuolumne County,6,109,19.7,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Ventura County,6,111,15.4,6.6–15.4
Primary and secondary syphilis,2021,California,Yolo County,6,113,16.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,California,Yuba County,6,115,46.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Adams County,8,1,14.9,6.6–15.4
Primary and secondary syphilis,2021,Colorado,Alamosa County,8,3,12.1,6.6–15.4
Primary and secondary syphilis,2021,Colorado,Arapahoe County,8,5,14.8,6.6–15.4
Primary and secondary syphilis,2021,Colorado,Archuleta County,8,7,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Baca County,8,9,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Bent County,8,11,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Boulder County,8,13,6.4,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Broomfield County,8,14,8.0,6.6–15.4
Primary and secondary syphilis,2021,Colorado,Chaffee County,8,15,5.0,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Cheyenne County,8,17,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Clear Creek County,8,19,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Conejos County,8,21,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Costilla County,8,23,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Crowley County,8,25,16.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Custer County,8,27,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Delta County,8,29,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Denver County,8,31,38.7,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Dolores County,8,33,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Douglas County,8,35,3.5,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Eagle County,8,37,5.4,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Elbert County,8,39,7.4,6.6–15.4
Primary and secondary syphilis,2021,Colorado,El Paso County,8,41,6.2,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Fremont County,8,43,18.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Garfield County,8,45,3.2,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Gilpin County,8,47,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Grand County,8,49,6.3,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Gunnison County,8,51,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Hinsdale County,8,53,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Huerfano County,8,55,14.5,6.6–15.4
Primary and secondary syphilis,2021,Colorado,Jackson County,8,57,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Jefferson County,8,59,9.7,6.6–15.4
Primary and secondary syphilis,2021,Colorado,Kiowa County,8,61,68.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Kit Carson County,8,63,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Lake County,8,65,0.0,0.0
Primary and secondary syphilis,2021,Colorado,La Plata County,8,67,16.0,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Larimer County,8,69,3.6,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Las Animas County,8,71,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Lincoln County,8,73,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Logan County,8,75,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Mesa County,8,77,3.2,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Mineral County,8,79,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Moffat County,8,81,22.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Montezuma County,8,83,3.8,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Montrose County,8,85,9.3,6.6–15.4
Primary and secondary syphilis,2021,Colorado,Morgan County,8,87,17.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Otero County,8,89,5.4,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Ouray County,8,91,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Park County,8,93,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Phillips County,8,95,22.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Pitkin County,8,97,23.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Prowers County,8,99,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Pueblo County,8,101,50.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Colorado,Rio Blanco County,8,103,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Rio Grande County,8,105,8.8,6.6–15.4
Primary and secondary syphilis,2021,Colorado,Routt County,8,107,4.0,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Saguache County,8,109,0.0,0.0
Primary and secondary syphilis,2021,Colorado,San Juan County,8,111,0.0,0.0
Primary and secondary syphilis,2021,Colorado,San Miguel County,8,113,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Sedgwick County,8,115,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Summit County,8,117,3.2,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Teller County,8,119,4.0,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Washington County,8,121,0.0,0.0
Primary and secondary syphilis,2021,Colorado,Weld County,8,123,6.5,0.1–6.5
Primary and secondary syphilis,2021,Colorado,Yuma County,8,125,0.0,0.0
Primary and secondary syphilis,2021,Connecticut,Fairfield County,9,1,5.3,0.1–6.5
Primary and secondary syphilis,2021,Connecticut,Hartford County,9,3,14.5,6.6–15.4
Primary and secondary syphilis,2021,Connecticut,Litchfield County,9,5,2.7,0.1–6.5
Primary and secondary syphilis,2021,Connecticut,Middlesex County,9,7,4.9,0.1–6.5
Primary and secondary syphilis,2021,Connecticut,New Haven County,9,9,11.9,6.6–15.4
Primary and secondary syphilis,2021,Connecticut,New London County,9,11,7.8,6.6–15.4
Primary and secondary syphilis,2021,Connecticut,Tolland County,9,13,4.0,0.1–6.5
Primary and secondary syphilis,2021,Connecticut,Windham County,9,15,2.6,0.1–6.5
Primary and secondary syphilis,2021,Delaware,Kent County,10,1,6.0,0.1–6.5
Primary and secondary syphilis,2021,Delaware,New Castle County,10,3,14.9,6.6–15.4
Primary and secondary syphilis,2021,Delaware,Sussex County,10,5,13.3,6.6–15.4
Primary and secondary syphilis,2021,District of Columbia,District of Columbia,11,1,38.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Florida,Alachua County,12,1,22.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,Florida,Baker County,12,3,10.4,6.6–15.4
Primary and secondary syphilis,2021,Florida,Bay County,12,5,22.9,"15.5–1,130.7"
